영업상태명,폐업일자,사업장명,좌표정보(x),좌표정보(y),도로명전체주소
폐업,2024.2.27,누룩,127.0238161,37.28629799,"경기도 수원시 팔달구 창룡대로 90-5, 1층 (남수동)"
폐업,2024.2.29,강레오의 차돌집,126.9418499,37.27329096,"경기도 수원시 권선구 금곡로102번길 15, 비즈웍스 1층 127호 일부호 (금곡동)"
폐업,2024.2.29,뭉무디자인(MM design),127.0362369,37.26517004,"경기도 수원시 팔달구 권광로***번길 **-**, ****호 (인계동)"
폐업,2024.2.27,주식회사 씨스코컴퍼니,126.9825341,37.29587416,"경기도 수원시 장안구 만석로19번길 25-10, 롯데마트 천천점 지하1층 (천천동)"
폐업,2024.3.5,몬테스 본,126.9724983,37.23604415,"경기도 수원시 권선구 서수원로99번길 20, 1층 (오목천동)"
폐업,2024.2.29,굿뉴스그로서리스토어,127.0165859,37.28652856,"경기도 수원시 팔달구 화서문로75번길 11, 1층 (북수동)"
폐업,2024.3.4,요녀석 인계점,127.024147,37.26757735,"경기도 수원시 팔달구 장다리로195번길 14, 1층 (인계동)"
폐업,2024.3.5,더끌린글로리아,126.9813973,37.31414114,"경기도 수원시 장안구 장안로***번길 **, ***동 ***호 (이목동, 수원 장안 STX KAN *단지아파트)"
폐업,2023.11.30,루시아,126.9590814,37.26737643,"경기도 수원시 권선구 매실로 **, ***동 ****호 (호매실동, 호매실GS아파트)"
폐업,2024.3.5,온정,126.9536624,37.27344981,"경기도 수원시 권선구 금곡로212번길 14, 거성빌딩 1층 106호 (금곡동)"
폐업,2024.3.5,예니당,126.9336983,37.27524397,"경기도 수원시 권선구 금곡로73번길 71, B1층 01(일부)호 (금곡동, 금곡엘지아파트)"
폐업,2024.3.5,온정,127.0145548,37.24349462,"경기도 수원시 권선구 정조로 381, 1층 (장지동)"
폐업,2024.2.29,쑝쑝돈가스 수원정자점,126.9939749,37.296416,"경기도 수원시 장안구 대평로90번길 20, 엔타운 1층 103호 (정자동)"
폐업,2024.3.4,하하상점,127.0796249,37.26291129,"경기도 수원시 영통구 영통로 ***, ***동 ****호 (영통동, 황골마을주공*단지아파트)"
폐업,2024.3.4,존맛탱마라탕,127.0078087,37.26427991,"경기도 수원시 권선구 세류로 55, 1층 일부호 (세류동)"
폐업,2024.2.29,진헤어 Jin Hair,126.9790214,37.27145863,"경기도 수원시 권선구 서둔로 ***, *층 (탑동)"
폐업,2024.3.4,맛스러운,126.9693237,37.30345847,"경기도 수원시 장안구 덕영대로***번길 **-**, ***호 (율전동)"
폐업,2024.2.29,당신은지금치킨이땡긴다 인계점,127.0247908,37.26750276,"경기도 수원시 팔달구 장다리로 195, 엠에스써밋 1층 105호 (인계동)"
폐업,2024.3.5,버터델리,127.0333364,37.2851702,"경기도 수원시 팔달구 월드컵로311번길 27, 1층 (우만동)"
폐업,2024.2.29,"오늘도,스윗",127.0159388,37.28374736,"경기도 수원시 팔달구 정조로 847-1, 3층 (신풍동)"
폐업,2024.2.29,"오늘도,스윗",127.0159388,37.28374736,"경기도 수원시 팔달구 정조로 847-1, 3층 (신풍동)"
폐업,2024.2.28,제이제이제이푸드,127.0511374,37.29178221,"경기도 수원시 영통구 센트럴타운로 92, 1층 105호 (이의동)"
폐업,2024.2.26,이지케어,127.037094,37.26784241,"경기도 수원시 영통구 인계로***번길 **, ***동 ***호 (매탄동, 주공*단지아파트)"
폐업,2024.3.4,맛스러운,126.9693237,37.30345847,"경기도 수원시 장안구 덕영대로417번길 52-52, 1층 (율전동)"
폐업,2024.2.27,폴콘 갤러리아 광교MVG,127.0574398,37.28520631,"경기도 수원시 영통구 광교중앙로 124, 갤러리아 광교 12층 일부호 (하동)"
폐업,2024.3.5,주)온미,127.054679,37.27401533,"경기도 수원시 영통구 월드컵로 85, 인터프라자 1층 107호 (원천동)"
폐업,2024.3.5,버거타운 호매실점,126.9531678,37.27321777,"경기도 수원시 권선구 금곡로196번길 35, 1층 128호 (금곡동)"
폐업,2024.2.27,제이앤,127.0302754,37.24985272,"경기도 수원시 권선구 권중로 **, ***동 ****호 (권선동, 벽산한성아파트)"
폐업,2024.2.29,스토어워즈,127.0316075,37.26216796,"경기도 수원시 팔달구 권광로 ***, 수원프라자 ****호 (인계동)"
폐업,2024.3.5,어텀뷰티,126.9938942,37.28579916,"경기도 수원시 팔달구 덕영대로697번길 70, 주공프라자 1층 111호 (화서동)"
폐업,2024.2.27,바니클로즈,127.0642444,37.26687115,"경기도 수원시 영통구 삼성로***번길 **-*, *층 ***호 (원천동)"
폐업,2024.2.29,페이페이 갤러리아 광교점,127.0574398,37.28520631,"경기도 수원시 영통구 광교중앙로 124, 갤러리아 광교 9층 일부호 (하동)"
폐업,2024.2.29,라온약국,127.0134781,37.26073391,"경기도 수원시 권선구 정조로 582, 1층 (세류동)"
폐업,2024.3.5,맛의즐거움,127.0251484,37.234327,"경기도 수원시 권선구 경수대로54번길 72, 1층 102호 (곡반정동)"
폐업,2024.3.5,공감스터디앤워크,126.9543925,37.27562099,"경기도 수원시 권선구 금곡로***번길 **, *층 (금곡동)"
폐업,2024.2.28,라온약국,127.0134781,37.26073391,"경기도 수원시 권선구 정조로 582, 1층 104호 (세류동)"
폐업,2024.3.5,88김치찌개,127.0165963,37.25202362,"경기도 수원시 권선구 덕영대로1145번길 15, 1층 (세류동)"
폐업,2024.2.29,치치,126.9642224,37.29960515,"경기도 수원시 장안구 화산로285번길 18-13, 1층 (율전동)"
폐업,2024.2.27,돌봄동물의료센터,127.0435667,37.27518815,"경기도 수원시 팔달구 중부대로 ***, *층 (우만동)"
폐업,2024.3.4,휴가,127.045885,37.27501104,"경기도 수원시 영통구 동수원로***번길 **, 희원빌딩 *층 (원천동)"
폐업,2024.2.29,다정삼겹2,127.0007781,37.26838773,"경기도 수원시 팔달구 향교로1번길 20, 1층 108, 109호 (매산로1가)"
폐업,2024.2.29,딥그린(DeepGreen),127.0104017,37.29551745,"경기도 수원시 장안구 송정로118번길 7, 1층 103호 (조원동)"
폐업,2024.2.27,소나무 간병협회,126.9734101,37.26873195,"경기도 수원시 권선구 하탑로 17, 모아빌딩 6층 602호 (탑동)"
폐업,2024.3.5,미친냉면,127.0202136,37.26068799,"경기도 수원시 권선구 권선로 630, 2층 5호 (권선동)"
폐업,2024.3.5,청년분식,126.9528108,37.29858392,"경기도 수원시 권선구 입북로77번길 61, 1층 107호 (입북동, 서수원 레이크 푸르지오 2단지)"
폐업,2024.2.29,씨유 수원성모병원점,127.0079225,37.29203646,"경기도 수원시 장안구 수성로 328, 1층 (영화동)"
폐업,2024.3.5,cafe-by(카페바이),127.0174154,37.26117799,"경기도 수원시 권선구 세지로 99, 지하1층 B05호 (세류동, 삼익아파트)"
폐업,2024.2.27,원스핏 북수원점 PT studio,127.007451,37.30352053,"경기도 수원시 장안구 경수대로 950, 아울렛쇼핑타운 433호 (조원동)"
폐업,2024.3.5,총각네소고기&냉면,127.0202136,37.26068799,"경기도 수원시 권선구 권선로 630, 2층 (권선동)"
폐업,2024.3.4,로즈피엘,127.0746304,37.24785,"경기도 수원시 영통구 덕영대로****번길 *-*, *층 ***호 (영통동)"
폐업,2024.3.4,아삼육,127.0673404,37.27519066,"경기도 수원시 영통구 광교호수로 **, ****동 ****호 (하동, 휴먼시아아파트)"
폐업,2024.2.27,희 뽑기방,127.0148027,37.3006389,"경기도 수원시 장안구 송정로187번길 54-2, 1층 (조원동)"
폐업,2024.2.27,핵밥 수원망포점,127.048727,37.24096205,"경기도 수원시 영통구 망포로 136, 영통 플래티넘베이스 에이 1층 113호 (망포동)"
폐업,2024.3.5,아이엠정,126.9849911,37.30713571,"경기도 수원시 장안구 이목로 **, ***동 ****호 (정자동, 수원 SK SKY VIEW)"
폐업,2024.3.5,스파게티참잘하는집,127.0255466,37.26007673,"경기도 수원시 권선구 경수대로384번길 24, 4층 (권선동)"
폐업,2024.3.5,테그42(권선점),127.0268139,37.24564784,"경기도 수원시 권선구 동수원로145번길 74, 상가1동 1층 107호 (권선동, 수원아이파크시티 1단지)"
폐업,2024.3.5,세븐일레븐 수원3산업단지점,126.984307,37.23544223,"경기도 수원시 권선구 산업로156번길 88-34, 1층 (고색동)"
폐업,2024.2.29,보다물산,126.9658927,37.2989598,"경기도 수원시 장안구 율전로***번길 **, *층 **호 (율전동)"
폐업,2024.2.27,지비인터내셔널,127.0519845,37.30933722,"경기도 수원시 영통구 웰빙타운로**번길 **-***, ***호 (이의동)"
폐업,2024.2.28,윤메디스킨,127.0483768,37.29191324,"경기도 수원시 영통구 센트럴타운로 107, 1층 114호 (이의동, 광교푸르지오 월드마크, 월드스퀘어)"
폐업,2024.3.4,버거타운 인계본점,127.0294634,37.26726358,"경기도 수원시 팔달구 인계로108번길 9, 104,105호 (인계동)"
폐업,2024.2.27,폴콘 갤러리아 광교,127.0574398,37.28520631,"경기도 수원시 영통구 광교중앙로 124, 갤러리아 광교 9층 (하동)"
폐업,2024.3.4,풍미공방 갤러리아광교,127.0574398,37.28520631,"경기도 수원시 영통구 광교중앙로 124, 갤러리아 광교 지하1층 (하동)"
폐업,2024.2.29,뉴트라라이프 갤러리아광교,127.0574398,37.28520631,"경기도 수원시 영통구 광교중앙로 ***, 갤러리아 광교 지하*층 (하동)"
폐업,2024.2.28,블랑드네일,127.0663275,37.29186577,"경기도 수원시 영통구 광교중앙로 240, KJ 프라자 102호 (하동)"
폐업,2024.2.28,Black Pine(블랙파인),126.9679712,37.29900209,"경기도 수원시 장안구 화산로259번길 25, 1층 (율전동)"
폐업,2024.3.5,구름산추어탕 서수원점,126.9702176,37.28242301,"경기도 수원시 권선구 수인로 291, 서수원버스터미널 이마트동 1층 (구운동)"
폐업,2024.3.5,카페달달,126.9778576,37.23364457,"경기도 수원시 권선구 서수원로47번길 11, 그린메디프라자 1층 107호 (오목천동)"
폐업,2024.2.29,다정삼겹1,127.0007781,37.26838773,"경기도 수원시 팔달구 향교로1번길 20, 1층 112,113호 (매산로1가)"
폐업,2024.3.5,천년이고,126.9590814,37.26737643,"경기도 수원시 권선구 매실로 70, B02호 (호매실동, 호매실GS아파트)"
폐업,2024.3.4,예진아씨,127.0577388,37.28704822,"경기도 수원시 영통구 광교중앙로 ***, 광교엘포트아이파크 B***호 (이의동)"
폐업,2024.3.5,시카고닭빨,126.9542696,37.27721936,"경기도 수원시 권선구 서수원로 589, 314동 105호 (금곡동, 삼익3차아파트)"
폐업,2024.2.29,플레이맘수원점,127.0082633,37.30112001,"경기도 수원시 장안구 경수대로***번길 **, *층 (송죽동)"
폐업,2024.2.29,뉴질랜드마켓,127.0320879,37.27452901,"경기도 수원시 팔달구 장다리로***번길 **, 지*층 ***호 (인계동, 신반포아파트)"
폐업,2024.2.28,애견동화,127.0498569,37.27134059,경기도 수원시 영통구 매봉로**번길 ** (매탄동)
폐업,2024.3.5,우리애 푸드,126.9547912,37.27514796,"경기도 수원시 권선구 금곡로 225, 딜라이트2 202호 (금곡동)"
폐업,2024.3.4,파라솔영어교습소,127.0451762,37.24742926,"경기도 수원시 영통구 권선로***번길 **, *층 ***호 (신동)"
폐업,2024.3.5,행복한찹쌀꽈배기,127.0164944,37.25604306,경기도 수원시 권선구 세지로42번길 3 (세류동)
폐업,2024.2.28,케이씨씨골프아카데미,127.0352866,37.27131466,"경기도 수원시 팔달구 권광로 267, 2층 (인계동)"
폐업,2024.2.28,물음표,126.9708896,37.2593354,"경기도 수원시 권선구 호매실로 22-66, 1층 (탑동)[*미고시]"
폐업,2024.3.1,에이미펫,127.008783,37.29447628,"경기도 수원시 장안구 송정로**번길 **-**, 나동 ***호 (정자동, 삼부연립)"
폐업,2024.2.28,마이런(myron),127.0414098,37.26181978,"경기도 수원시 영통구 효원로 ***, ***동 ****호 (매탄동, 매탄 위브 하늘채)"
폐업,2024.2.27,바닐라백,127.0622362,37.28870839,"경기도 수원시 영통구 센트럴파크로 **, 광교힐스테이트레이크 ***동 ****호 (하동)"
폐업,2024.3.4,프랜차미,127.0269723,37.28804359,"경기도 수원시 팔달구 경수대로***번길 **, *층 (우만동)"
폐업,2024.3.5,동원산업(주),126.9702176,37.28242301,"경기도 수원시 권선구 수인로 291, 이마트 서수원점 1층 (구운동)"
폐업,2024.2.26,라일락(like luck),127.0464384,37.27519361,"경기도 수원시 영통구 동수원로***번길 **, 나동 ***호 (원천동, 아주아파트)"
폐업,2024.3.5,마마트 세류점,127.0168719,37.25151808,"경기도 수원시 권선구 세지로4번길 49-1, 1층 (세류동)"
폐업,2024.2.27,요시컴퍼니,127.0656446,37.29403625,"경기도 수원시 영통구 광교중앙로 ***, ****동 ****호 (하동, 휴먼시아아파트)"
